Realm	Subrealm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus coleopteri	ICTV20186043
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus culvertonense	ICTV202009746
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus hanchengense	ICTV202009747
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus hymenopteri	ICTV202009748
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus insectii	ICTV202009749
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus nomadae	ICTV202214130
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus oropsyllae	ICTV202214129
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus rhagoveliae	ICTV202214131
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus scaldisense	ICTV202009750
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus shayangense	ICTV20186066
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Jingchuvirales		Aliusviridae		Ollusvirus		Ollusvirus taiyuanense	ICTV201907449
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Fiersviridae		Olmsdivirus		Olmsdivirus lutivivens	ICTV202010514
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Konkoviridae		Olpivirus		Olpivirus freesiae	ICTV202522293
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Konkoviridae		Olpivirus		Olpivirus lachenaliae	ICTV202522294
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Konkoviridae		Olpivirus		Olpivirus lactucae	ICTV202420185
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Konkoviridae		Olpivirus		Olpivirus soli	ICTV202522295
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Konkoviridae		Olpivirus		Olpivirus tripterocalicis	ICTV202522296
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Konkoviridae		Olpivirus		Olpivirus tulipae	ICTV202317829
Riboviria		Orthornavirae	Negarnaviricota	Polyploviricotina	Bunyaviricetes		Hareavirales		Konkoviridae		Olpivirus		Olpivirus waitziae	ICTV202522297
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes				Vandenendeviridae	Gorskivirinae	Omahavirus		Omahavirus UNOG1W1	ICTV202420858
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Arquatrovirinae	Omarvirus		Omarvirus amethyst	ICTV202113144
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Arquatrovirinae	Omarvirus		Omarvirus diane	ICTV202113143
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Arquatrovirinae	Omarvirus		Omarvirus omar	ICTV202113142
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes					Arquatrovirinae	Omarvirus		Omarvirus tefunt	ICTV202113145
Floreoviria		Shotokuvirae	Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Omegapapillomavirus		Omegapapillomavirus 1	ICTV20115573
Riboviria		Orthornavirae	Kitrinoviricota		Alsuviricetes		Hepelivirales		Alphatetraviridae		Omegatetravirus		Omegatetravirus dendrolimi	ICTV20084873
Riboviria		Orthornavirae	Kitrinoviricota		Alsuviricetes		Hepelivirales		Alphatetraviridae		Omegatetravirus		Omegatetravirus helicoverpae	ICTV19991670
Riboviria		Orthornavirae	Kitrinoviricota		Alsuviricetes		Hepelivirales		Alphatetraviridae		Omegatetravirus		Omegatetravirus nudaureliae	ICTV19952234
Floreoviria		Shotokuvirae	Commensaviricota		Cardeaviricetes		Sanitavirales		Anelloviridae		Omegatorquevirus		Omegatorquevirus hominid1	ICTV202009438
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Omegavirus		Omegavirus baka	ICTV20140392
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Omegavirus		Omegavirus courthouse	ICTV20140390
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Omegavirus		Omegavirus littlee	ICTV20140389
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Omegavirus		Omegavirus omega	ICTV20140388
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Omegavirus		Omegavirus optimus	ICTV20140391
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Omegavirus		Omegavirus thibault	ICTV20140393
Floreoviria		Shotokuvirae	Commensaviricota		Cardeaviricetes		Sanitavirales		Anelloviridae		Omicrontorquevirus		Omicrontorquevirus ursid16	ICTV202420426
Floreoviria		Shotokuvirae	Commensaviricota		Cardeaviricetes		Sanitavirales		Anelloviridae		Omicrontorquevirus		Omicrontorquevirus ursid5	ICTV202009440
Floreoviria		Shotokuvirae	Cossaviricota		Papovaviricetes		Zurhausenvirales		Papillomaviridae	Firstpapillomavirinae	Omikronpapillomavirus		Omikronpapillomavirus 1	ICTV20041495
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Fiersviridae		Omohevirus		Omohevirus peladaptatum	ICTV202010516
									Obscuriviridae		Omtjevirus		Omtjevirus Omtje	ICTV202420829
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Xinmoviridae		Omyavirus		Omyavirus bahiaense	ICTV202522500
Riboviria		Orthornavirae	Pisuviricota		Pisoniviricetes		Nidovirales	Tornidovirineae	Tobaniviridae	Piscanivirinae	Oncotshavirus	Salnivirus	Oncotshavirus oncorhynchi	ICTV20165185
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Oneupvirus		Oneupvirus brutongaster	ICTV201907460
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Oneupvirus		Oneupvirus oneup	ICTV20165090
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Fiersviridae		Onohmuvirus		Onohmuvirus pelenecus	ICTV202010518
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Onyinyevirus		Onyinyevirus onyinye	ICTV202214963
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Oonoonbavirus		Oonoonbavirus VHML	ICTV20150251
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Oonoonbavirus		Oonoonbavirus VP85	ICTV20150253
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes						Oonoonbavirus		Oonoonbavirus mar	ICTV20150252
Riboviria		Orthornavirae	Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Betatotivirineae	Ootiviridae		Ootivirus		Ootivirus go	ICTV202318235
Riboviria		Orthornavirae	Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Betatotivirineae	Ootiviridae		Ootivirus		Ootivirus ichi	ICTV202318236
Riboviria		Orthornavirae	Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Betatotivirineae	Ootiviridae		Ootivirus		Ootivirus ni	ICTV202318237
Riboviria		Orthornavirae	Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Betatotivirineae	Ootiviridae		Ootivirus		Ootivirus roku	ICTV202318238
Riboviria		Orthornavirae	Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Betatotivirineae	Ootiviridae		Ootivirus		Ootivirus sani	ICTV202318239
Riboviria		Orthornavirae	Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Betatotivirineae	Ootiviridae		Ootivirus		Ootivirus shi	ICTV202318240
Riboviria		Orthornavirae	Duplornaviricota		Chrymotiviricetes		Ghabrivirales	Betatotivirineae	Ootiviridae		Ootivirus		Ootivirus shichi	ICTV202318241
Riboviria		Orthornavirae	Negarnaviricota	Haploviricotina	Monjiviricetes		Mononegavirales		Xinmoviridae		Opavirus		Opavirus hayense	ICTV202522499
Riboviria		Orthornavirae	Lenarviricota		Leviviricetes		Norzivirales		Fiersviridae		Opdykovirus		Opdykovirus pelocola	ICTV202010520
