Realm	Subrealm	Kingdom	Phylum	Subphylum	Class	Subclass	Order	Suborder	Family	Subfamily	Genus	Subgenus	Species	ICTV_ID
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Rivendellvirales		Naryaviridae		Nimphelosvirus		Nimphelosvirus isildur	ICTV202113289
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Ningirsuvirus		Ningirsuvirus DchS19	ICTV202421343
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Ningirsuvirus		Ningirsuvirus JA10	ICTV201908386
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Ningirsuvirus		Ningirsuvirus W2B	ICTV202421344
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Ningirsuvirus		Ningirsuvirus nahilimali	ICTV202421342
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Ningirsuvirus		Ningirsuvirus ninurta	ICTV201908385
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Ningirsuvirus		Ningirsuvirus pEpSNUABM12	ICTV202421341
Duplodnaviria		Heunggongvirae	Uroviricota		Caudoviricetes		Autographivirales		Autotranscriptaviridae	Studiervirinae	Ningirsuvirus		Ningirsuvirus sibilus	ICTV202421340
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus bowris	ICTV202318894
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus cruti	ICTV202318877
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus culiziae	ICTV202318896
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus duliaris	ICTV202318891
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus floridaense	ICTV202318874
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus jaringis	ICTV202318876
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus lawatis	ICTV202318875
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus lophus	ICTV202318890
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus maringis	ICTV202318888
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus mintis	ICTV202318878
Floreoviria		Shotokuvirae	Cressdnaviricota		Arfiviricetes		Saturnivirales		Kanorauviridae		Ninurtavirus		Ninurtavirus momolo	ICTV202318880
